Status: 304 [29/May/2024:12:22:00 +0000] Bytes: 445 IP: 192.168.121.51 Nome: - Recurso: /b.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [29/May/2024:12:26:43 +0000] Bytes: 369 IP: 192.168.121.51 Nome: - Recurso: /cambados( Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:09:34:34 +0000] Bytes: 356 IP: 192.168.121.51 Nome: - Recurso: /b.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:09:34:34 +0000] Bytes: 321 IP: 192.168.121.51 Nome: - Recurso: /favicon.ico Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:09:34:40 +0000] Bytes: 365 IP: 192.168.121.51 Nome: - Recurso: /cambadods Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:09:36:19 +0000] Bytes: 365 IP: 192.168.121.51 Nome: - Recurso: /cambadods Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:09:37:38 +0000] Bytes: 365 IP: 192.168.121.51 Nome: - Recurso: /cambadods Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 302 [30/May/2024:09:44:02 +0000] Bytes: 365 IP: 192.168.121.51 Nome: - Recurso: /director/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:09:44:02 +0000] Bytes: 378 IP: 192.168.121.51 Nome: - Recurso: /app/alberto/alexpina/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:09:50:36 +0000] Bytes: 356 IP: 192.168.121.51 Nome: - Recurso: /b.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:09:50:36 +0000] Bytes: 321 IP: 192.168.121.51 Nome: - Recurso: /favicon.ico Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:09:50:40 +0000] Bytes: 366 IP: 192.168.121.51 Nome: - Recurso: /director/un.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:09:52:41 +0000] Bytes: 365 IP: 192.168.121.51 Nome: - Recurso: /profesor/un.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:10:14:04 +0000] Bytes: 362 IP: 192.168.121.51 Nome: - Recurso: /moscu/index.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:10:56:56 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:10:57:50 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:10:57:52 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:10:57:53 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 500 [30/May/2024:10:57:53 +0000] Bytes: 360 IP: 192.168.121.51 Nome: - Recurso: /rio/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:10:57:59 +0000] Bytes: 416 IP: 192.168.121.51 Nome: - Recurso: /profesor/un.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 200 [30/May/2024:10:58:03 +0000] Bytes: 356 IP: 192.168.121.51 Nome: - Recurso: /b.html Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
Status: 404 [30/May/2024:10:58:03 +0000] Bytes: 321 IP: 192.168.121.51 Nome: - Recurso: /favicon.ico Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/117.0
